lokasi,judul,deskripsi,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan,catatan
"Kedungkandang, Malang","Rumah bergaya modern di Kedungkandang.  Temukan rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di li...","Rumah bergaya modern di Kedungkandang.  Temukan rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di li...",750000000.0,6.0,3.0,219.0,200.0,2026-04-16,Kedungkandang,Aman
"Kedungkandang, Malang",Spesifikasi:  - LT : 96 m2 - LB : 50m2 - KT : 3  - KM : 2 - Air PDAM - SHM  - Carport 2 mobil  - Hadap Timur  - Row jalan 3 mobil (jalan kembar/jal...,Spesifikasi:  - LT : 96 m2 - LB : 50m2 - KT : 3  - KM : 2 - Air PDAM - SHM  - Carport 2 mobil  - Hadap Timur  - Row jalan 3 mobil (jalan kembar/jal...,1500000000.0,3.0,2.0,96.0,50.0,2026-04-16,Kedungkandang,Aman
"Pandanwangi, Malang",- luas tanah : 70 m² - luas bangunan : 54 m² - tingkat : tidak - kamar tidur : 2 - kamar mandi : 1 - gudang : tidak ada - garasi / car port : ada...,- luas tanah : 70 m² - luas bangunan : 54 m² - tingkat : tidak - kamar tidur : 2 - kamar mandi : 1 - gudang : tidak ada - garasi / car port : ada...,550000000.0,2.0,1.0,70.0,54.0,2026-04-16,Blimbing,Aman
"Sukun, Malang","Dijual Rumah Hook di Istana Dieng, Sukun Malang (boulevard)  Luas Tanah 486 m² Luas Bangunan 450 m³ Kamar Tidur 6 + 1 Kamar Mandi 4 + 2 Sertifika...","Dijual Rumah Hook di Istana Dieng, Sukun Malang (boulevard)  Luas Tanah 486 m² Luas Bangunan 450 m³ Kamar Tidur 6 + 1 Kamar Mandi 4 + 2 Sertifika...",9500000000.0,7.0,6.0,486.0,450.0,2026-04-16,Sukun,Aman
"Tidar, Malang","Dijual Rumah di Villa Puncak Tidar, VPT Malang  Proses upgrade bangunan dan facade Dekat Elpico   Luas tanah 130 m² Dimensi 10 x 13 m Luas banguna...","Dijual Rumah di Villa Puncak Tidar, VPT Malang  Proses upgrade bangunan dan facade Dekat Elpico   Luas tanah 130 m² Dimensi 10 x 13 m Luas banguna...",1500000000.0,3.0,1.0,130.0,100.0,2026-04-16,Sukun,Aman
"Pisang Candi, Malang","Rumah Siap Huni 1,5 lantai, lokasi sangat strategis di Jalan Gamalama, Tidar, Malang. LT 101 LB 150 KT 4 KM 2 1300 (token) PDAM SHM Hadap Barat  RO...","Rumah Siap Huni 1,5 lantai, lokasi sangat strategis di Jalan Gamalama, Tidar, Malang. LT 101 LB 150 KT 4 KM 2 1300 (token) PDAM SHM Hadap Barat  RO...",850000000.0,4.0,2.0,101.0,150.0,2026-04-16,Sukun,Aman
"Dieng, Malang","Dijual Rumah di Dieng Malang  Turun Harga 1,125M >>> 1,050M
>>> 995 jt  Rumah Cantik, Kondisi Bagus di Austinville Dieng Malang
 
 Bagian belakang ...","Dijual Rumah di Dieng Malang  Turun Harga 1,125M >>> 1,050M
>>> 995 jt  Rumah Cantik, Kondisi Bagus di Austinville Dieng Malang
 
 Bagian belakang ...",995000000.0,2.0,1.0,84.0,65.0,2026-04-16,Sukun,Aman
"Klojen, Malang","DIJUAL GEDUNG USAHA PREMIUM - AREA IJEN, MALANG  Cocok untuk Cafe, Resto, Kantor, hingga Bisnis Komersial lainnya Lokasi super strategis di kawasan...","DIJUAL GEDUNG USAHA PREMIUM - AREA IJEN, MALANG  Cocok untuk Cafe, Resto, Kantor, hingga Bisnis Komersial lainnya Lokasi super strategis di kawasan...",7500000000.0,1.0,4.0,281.0,650.0,2026-04-16,Klojen,Aman
"Araya, Malang",Alamat lengkap : raya graha golf araya malang Luas Tanah : 15*25 (375)  Luas bangunan :  +/- 450 an Tingkat : 2 Dimensi Tanah : 15*25 Kamar tidur :...,Alamat lengkap : raya graha golf araya malang Luas Tanah : 15*25 (375)  Luas bangunan :  +/- 450 an Tingkat : 2 Dimensi Tanah : 15*25 Kamar tidur :...,4700000000.0,5.0,6.0,375.0,450.0,2026-04-16,Blimbing,Aman
"Araya, Malang",Rumah baru dengan kolam renang dekat Binus Araya Malang Semi furnish Ada rooftop Bonus pemanas air  Bisa dimanfaatkan juga untuk kost atau penginap...,Rumah baru dengan kolam renang dekat Binus Araya Malang Semi furnish Ada rooftop Bonus pemanas air  Bisa dimanfaatkan juga untuk kost atau penginap...,3300000000.0,5.0,6.0,184.0,260.0,2026-04-16,Blimbing,Ada kata 'kos/kost' di judul
"Sukun, Malang",Dijual rumah siap huni di Perumahan Sukun  - Luas tanah 84m2 - Luas bangunan full - Kamar tidur 2 - Kamar mandi 2 - Listrik 2200W - Air PDAM - Hada...,Dijual rumah siap huni di Perumahan Sukun  - Luas tanah 84m2 - Luas bangunan full - Kamar tidur 2 - Kamar mandi 2 - Listrik 2200W - Air PDAM - Hada...,875000000.0,2.0,2.0,84.0,84.0,2026-04-16,Sukun,Aman
"Sulfat, Malang",TURUN HARGA! RUMAH HOOK STRATEGIS AREA SULFAT   Kesempatan langka punya rumah posisi hook dengan akses luas dan sirkulasi udara maksimal! Cocok unt...,TURUN HARGA! RUMAH HOOK STRATEGIS AREA SULFAT   Kesempatan langka punya rumah posisi hook dengan akses luas dan sirkulasi udara maksimal! Cocok unt...,1500000000.0,4.0,3.0,144.0,140.0,2026-04-16,Blimbing,Aman
"Sawojajar, Malang",RUMAH BARU MODERN MINIMALIS HOOK - SAWOJAJAR 1 KOTA MALANG  Kesempatan memiliki rumah baru dengan desain modern minimalis di kawasan favorit Sawoja...,RUMAH BARU MODERN MINIMALIS HOOK - SAWOJAJAR 1 KOTA MALANG  Kesempatan memiliki rumah baru dengan desain modern minimalis di kawasan favorit Sawoja...,1160000000.0,3.0,3.0,97.0,135.0,2026-04-16,Blimbing,Aman
"Sulfat, Malang",Rumah Mewah 2 Lantai Lokasi Area Sulfat Blimbing Malang 20 m dari Jalan Raya Sulfat dekat kuliner sulfat dan RSB puri bunda dekat akses ke pintu to...,Rumah Mewah 2 Lantai Lokasi Area Sulfat Blimbing Malang 20 m dari Jalan Raya Sulfat dekat kuliner sulfat dan RSB puri bunda dekat akses ke pintu to...,2000000000.0,5.0,2.0,188.0,350.0,2026-04-16,Blimbing,Aman
"Sawojajar, Malang","Rumah dijual Lokasi di sawojajar Strategis; - dekat exit tol dan akses ke bandara - dekat sekolah dan kampus wisnuwardana, um 2 - dekat pasar Akses...","Rumah dijual Lokasi di sawojajar Strategis; - dekat exit tol dan akses ke bandara - dekat sekolah dan kampus wisnuwardana, um 2 - dekat pasar Akses...",895000000.0,3.0,1.0,197.0,100.0,2026-04-16,Blimbing,Aman
"Sulfat, Malang","Dijual Rumah Bagus 2 Lantai di Kawasan Strategis Sulfat - Malang  Rumah terawat, siap huni, dan berada di lingkungan yang asri serta nyaman. Lokasi...","Dijual Rumah Bagus 2 Lantai di Kawasan Strategis Sulfat - Malang  Rumah terawat, siap huni, dan berada di lingkungan yang asri serta nyaman. Lokasi...",1200000000.0,4.0,2.0,115.0,200.0,2026-04-16,Blimbing,Aman
"Tidar, Malang","Rumah For Sell Malang Dijual Rumah Besar, kondisi Terawat & Siap Huni di Tidar Bawah
 
 * Lingkungan tenang
 * Include 4 AC, 2 water heater, CCTV &...","Rumah For Sell Malang Dijual Rumah Besar, kondisi Terawat & Siap Huni di Tidar Bawah
 
 * Lingkungan tenang
 * Include 4 AC, 2 water heater, CCTV &...",2300000000.0,6.0,4.0,236.0,266.0,2026-04-16,Sukun,Aman
"Tidar, Malang","Dijual Rumah posisi Hook di Area Tidar  * Dekat Wesley School, Charis, Kalam Kudus * Kondisi siap huni * Kamar Utama Ada kamar mandi dalam * Ada ta...","Dijual Rumah posisi Hook di Area Tidar  * Dekat Wesley School, Charis, Kalam Kudus * Kondisi siap huni * Kamar Utama Ada kamar mandi dalam * Ada ta...",1600000000.0,4.0,3.0,148.0,140.0,2026-04-16,Sukun,Aman
"Tidar, Malang","Rumah 2 lantai Area Tidar  * Semi Furnished (Kitchen Set, Meja makan, Sofa,  Lemari Es Besar, Lemari Baju) * KT 4 + 1 * KM 2 + 1 * Carport & Garasi...","Rumah 2 lantai Area Tidar  * Semi Furnished (Kitchen Set, Meja makan, Sofa,  Lemari Es Besar, Lemari Baju) * KT 4 + 1 * KM 2 + 1 * Carport & Garasi...",2500000000.0,5.0,3.0,182.0,250.0,2026-04-16,Sukun,Aman
"Dieng, Malang",Rumah Mewah dengan Privat Pool di Istana Dieng  * Bangunan 3 lantai * L. Tanah 403 * L. Bangunan 1000 * K. Tidur 4 + 2 Ruangan Multifungsi * K. Man...,Rumah Mewah dengan Privat Pool di Istana Dieng  * Bangunan 3 lantai * L. Tanah 403 * L. Bangunan 1000 * K. Tidur 4 + 2 Ruangan Multifungsi * K. Man...,14500000000.0,6.0,5.0,403.0,1000.0,2026-04-16,Sukun,Aman
"Dieng, Malang",DIJUAL SISA 1 UNIT  :fire: *BEST DEAL! SISA 1 UNIT SAJA*:fire: Rumah dekat Universitas Brawijaya (UB) - lokasi incaran hunian & investasi!   Harga ...,DIJUAL SISA 1 UNIT  :fire: *BEST DEAL! SISA 1 UNIT SAJA*:fire: Rumah dekat Universitas Brawijaya (UB) - lokasi incaran hunian & investasi!   Harga ...,725000000.0,2.0,1.0,72.0,41.0,2026-04-16,Sukun,Aman
"Dieng, Malang","Rumah Dijual Malang Dijual Rumah dengan luas tanah 400 m² di Bukit Dieng.
 
 * Total 7 Kamar Tidur
 * 2 Kamar Mandi
 * Air : Sumur Bor
 * Sertifik...","Rumah Dijual Malang Dijual Rumah dengan luas tanah 400 m² di Bukit Dieng.
 
 * Total 7 Kamar Tidur
 * 2 Kamar Mandi
 * Air : Sumur Bor
 * Sertifik...",3500000000.0,7.0,2.0,400.0,210.0,2026-04-16,Sukun,Aman
"Dieng, Malang","Dijual Rumah Bagus di Area Dieng  * 2 Lantai, ada Balkon depan * Semi Furnish : Kitchen Set, meja bar full granit, walking closet * Masih ada lahan...","Dijual Rumah Bagus di Area Dieng  * 2 Lantai, ada Balkon depan * Semi Furnish : Kitchen Set, meja bar full granit, walking closet * Masih ada lahan...",2300000000.0,3.0,2.0,150.0,125.0,2026-04-16,Sukun,Aman
"Dieng, Malang","Dijual Rumah kondisi Siap Huni, cocok untuk pasangan baru nikah  * Include : Kompor tanam, gorden + vitras, 1 AC, water heater, lemari baju 3 pintu...","Dijual Rumah kondisi Siap Huni, cocok untuk pasangan baru nikah  * Include : Kompor tanam, gorden + vitras, 1 AC, water heater, lemari baju 3 pintu...",1250000000.0,2.0,1.0,105.0,88.0,2026-04-16,Sukun,Aman
"Tidar, Malang","Dijual Rumah Bagus di daerah Tidar, Malang kota!  Fully furnished & One Gate System dengan keamanan 24 jam di Malang Kota! Spesifikasi : - Luas Tan...","Dijual Rumah Bagus di daerah Tidar, Malang kota!  Fully furnished & One Gate System dengan keamanan 24 jam di Malang Kota! Spesifikasi : - Luas Tan...",1200000000.0,2.0,1.0,120.0,75.0,2026-04-16,Sukun,Aman
"Blimbing, Malang",Rumah Mewah Modern Minimalis Perumahan Elite Nieuw Indie Araya  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sangat...,Rumah Mewah Modern Minimalis Perumahan Elite Nieuw Indie Araya  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sangat...,5300000000.0,4.0,5.0,280.0,350.0,2026-04-16,Blimbing,Aman
"Klojen, Malang","Rumah Mewah Kawasan Premium Ijen Nirwana Luas 289 m2  Area perumahan yang nyaman dengan keamanan 24 jam, kawasan elite.  Lokasi dekat dengan jalan ...","Rumah Mewah Kawasan Premium Ijen Nirwana Luas 289 m2  Area perumahan yang nyaman dengan keamanan 24 jam, kawasan elite.  Lokasi dekat dengan jalan ...",4850000000.0,7.0,2.0,289.0,250.0,2026-04-16,Klojen,Aman
"Sukun, Malang","Rumah Murah Luas 226 m2 Area Burung Burung Dekat RS Soepraon  Rumah berada di daerah burung burung malang Lokasi strategis, tidak jauh dari pusat k...","Rumah Murah Luas 226 m2 Area Burung Burung Dekat RS Soepraon  Rumah berada di daerah burung burung malang Lokasi strategis, tidak jauh dari pusat k...",1000000000.0,4.0,3.0,226.0,200.0,2026-04-16,Sukun,Aman
"Tidar, Malang","- Rumah daerah Tidar - 2 Lantai - Lingkungan perumahan yang aman dan tenang - Plus 2 AC, 1 water heater, dan lemari baju - Bangunan terawat - Row j...","- Rumah daerah Tidar - 2 Lantai - Lingkungan perumahan yang aman dan tenang - Plus 2 AC, 1 water heater, dan lemari baju - Bangunan terawat - Row j...",1800000000.0,4.0,2.0,120.0,150.0,2026-04-16,Sukun,Aman
"Sulfat, Malang","FOR SALE :  Rumah Baru dalam Proses Bangun di Sulfat, Malang - Luas Tanah: 82 m2  - Luas Bangunan: 175 m2 - 3 lantai  - 4 Kamar Tidur  - 3 Kamar Ma...","FOR SALE :  Rumah Baru dalam Proses Bangun di Sulfat, Malang - Luas Tanah: 82 m2  - Luas Bangunan: 175 m2 - 3 lantai  - 4 Kamar Tidur  - 3 Kamar Ma...",1500000000.0,4.0,3.0,82.0,175.0,2026-04-16,Blimbing,Aman
"Araya, Malang","*Dijual Rumah Baru 2 Lantai Siap Huni di Araya Valley*  Lt 200 (10x20) Lb 400 KT 5+1 Km 5+1 Carport 2 mobil SHGB Hadap Barat Harga 3,8 M nego","*Dijual Rumah Baru 2 Lantai Siap Huni di Araya Valley*  Lt 200 (10x20) Lb 400 KT 5+1 Km 5+1 Carport 2 mobil SHGB Hadap Barat Harga 3,8 M nego",3800000000.0,6.0,6.0,200.0,400.0,2026-04-16,Blimbing,Aman
"Kedungkandang, Malang",*Dijual rumah luas Villa Gunung Buring*  *HARGA BU*  Lt 200 Lb 150 KT 3 Km 3 Hadap selatan  SHM Listrik 900w Air dikelola perumahan  *Harga 500 jut...,*Dijual rumah luas Villa Gunung Buring*  *HARGA BU*  Lt 200 Lb 150 KT 3 Km 3 Hadap selatan  SHM Listrik 900w Air dikelola perumahan  *Harga 500 jut...,500000000.0,3.0,3.0,200.0,150.0,2026-04-16,Kedungkandang,Aman
"Dieng Tidar, Malang",*Dijual Rumah 2 lantai dgn kolam renang pribadi*      Di kawasan Elite *VILLA PUNCAK TIDAR* MALANG  *Dekat ELPICO & Univ MACHUNG*  Luas tanah: 402 ...,*Dijual Rumah 2 lantai dgn kolam renang pribadi*      Di kawasan Elite *VILLA PUNCAK TIDAR* MALANG  *Dekat ELPICO & Univ MACHUNG*  Luas tanah: 402 ...,4800000000.0,5.0,4.0,402.0,279.0,2026-04-16,Sukun,Aman
"Pandanwangi, Malang",- luas tanah : 70 m² - luas bangunan : 54 m² - tingkat : tidak - kamar tidur : 2 - kamar mandi : 1 - gudang : tidak ada - garasi / car port : ada...,- luas tanah : 70 m² - luas bangunan : 54 m² - tingkat : tidak - kamar tidur : 2 - kamar mandi : 1 - gudang : tidak ada - garasi / car port : ada...,550000000.0,2.0,1.0,70.0,54.0,2026-04-16,Blimbing,Aman
"Blimbing, Malang","Super High Luxury House Riverside Kota Malang  Dijual Rumah Mewah Full Furnish Cluster Ruverside, Blimbing Malang   Fasilitas :   One gate security...","Super High Luxury House Riverside Kota Malang  Dijual Rumah Mewah Full Furnish Cluster Ruverside, Blimbing Malang   Fasilitas :   One gate security...",13000000000.0,5.0,5.0,525.0,1300.0,2026-04-16,Blimbing,Aman
